羅馬字	漢字	頻率
pih	癟	5
pih	碧	1
pih	筆	10
pih	辟	10
pih	逼	32
pin	扁	3
pin	編	4
pin	變	66
pin	遍	45
pin	邊	330
pin	鞭	10
ping	並	191
ping	併	1
ping	兵	97
ping	冰	7
ping	柄	103
ping	餅	47
po	波	36
po	玻	3
po	簸	1
poh	剝	8
poh	北	14
poh	博	8
poh	卜	7
poh	膊	9
poh	駁	15
pong	崩	2
pu	布	41
pu	補	18
pu	譜	6
pun	半	57
pun	搬	16
pæ	拜	2
pæn	扮	3
pæn	扳	15
pæn	斑	2
pæn	板	21
pæn	版	1
pæn	班	129
pæn	畈	9
pæn	瘢	6
pæn	般	5
pæn	頒	1
pæn	𢲔	20
pô	巴	254
pô	把	467
pô	爸	3
pô	疤	6
pô	笆	3
pô	芭	1
pô	霸	4
pông	幫	76
pông	榜	13
pông	綁	1
pông	謗	11
pông	邦	2
pʽa	派	23
pʽah	拍	4
pʽah	潑	4
pʽah	𤖼	19
pʽang	乓	2
pʽang	烹	2
pʽao	帕	3
pʽao	拋	7
pʽao	泡	1
pʽao	炮	1
pʽao	跑	1
pʽe	坯	2
pʽe	沛	6
pʽe	配	6
pʽeng	噴	5
pʽeo	剖	14
pʽi	批	31
pʽi	披	6
pʽiao	漂	1
pʽiao	票	2
pʽih	劈	1
pʽih	匹	10
pʽih	撇	1
pʽih	闢	1
pʽin	偏	3
pʽin	片	2
pʽin	篇	15
pʽin	騙	21
pʽing	拼	13
pʽing	聘	2
pʽo	破	27
pʽoh	撲	15
pʽoh	樸	3
pʽoh	魄	3
pʽong	捧	3
pʽong	碰	99
pʽu	普	1
pʽu	鋪	30
pʽun	判	78
pʽun	潘	6
pʽô	帕	35
pʽô	怕	281
r	二	1
r	爾	10
r	珥	37
r	而	23
r	耳	10
s	使	624
s	史	32
s	司	181
s	四	140
s	始	26
s	屍	33
s	師	121
s	思	77
s	斯	36
s	施	2
s	梳	4
s	死	2
s	獅	4
s	私	57
s	絲	1
s	試	53
s	詩	54
s	賜	281
s	駛	31
sa	曬	8
sah	撒	594
sah	殺	124
sah	煞	165
sah	薩	64
sah	霎	1
sang	牲	73
sang	生	750
sang	甥	5
sang	省	12
sao	嫂	2
sao	掃	119
sao	梢	9
sao	燥	16
